시장/마트 번호	시장/마트 이름	품목 이름	가격(원)	년도-월	점검일자	자치구 이름
14	장위골목시장	사과(부사 300g)	2000	Oct-18	2018-10-01	성북구
14	장위골목시장	배(신고 600g)	3000	Oct-18	2018-10-01	성북구
14	장위골목시장	배추(2.5~3kg)	4333	Oct-18	2018-10-01	성북구
14	장위골목시장	무	1980	Oct-18	2018-10-01	성북구
14	장위골목시장	양파(1.5kg망)	2213	Oct-18	2018-10-01	성북구
14	장위골목시장	상추	1944	Oct-18	2018-10-01	성북구
14	장위골목시장	오이(다다기)	833	Oct-18	2018-10-01	성북구
14	장위골목시장	애호박	1000	Oct-18	2018-10-01	성북구
14	장위골목시장	쇠고기(한우불고기)	25900	Oct-18	2018-10-01	성북구
14	장위골목시장	돼지고기(생삼겹살)	15700	Oct-18	2018-10-01	성북구
14	장위골목시장	닭고기(육계)	6000	Oct-18	2018-10-01	성북구
14	장위골목시장	달걀(10개)	3400	Oct-18	2018-10-01	성북구
14	장위골목시장	달걀(30개)	5500	Oct-18	2018-10-01	성북구
14	장위골목시장	조기(국산생물)	2000	Oct-18	2018-10-01	성북구
14	장위골목시장	명태(러시아냉동)	2500	Oct-18	2018-10-01	성북구
14	장위골목시장	오징어(생물국산)	4000	Oct-18	2018-10-01	성북구
14	장위골목시장	고등어(생물국산)	1667	Oct-18	2018-10-01	성북구
13	돈암제일시장	사과(부사 300g)	1500	Oct-18	2018-10-01	성북구
13	돈암제일시장	배(신고 600g)	3000	Oct-18	2018-10-01	성북구
13	돈암제일시장	배추(2.5~3kg)	3667	Oct-18	2018-10-01	성북구
13	돈암제일시장	무	3500	Oct-18	2018-10-01	성북구
13	돈암제일시장	양파(1.5kg망)	2000	Oct-18	2018-10-01	성북구
13	돈암제일시장	상추(100g)	1333	Oct-18	2018-10-01	성북구
13	돈암제일시장	오이(다다기)	500	Oct-18	2018-10-01	성북구
13	돈암제일시장	애호박	500	Oct-18	2018-10-01	성북구
13	돈암제일시장	쇠고기(한우1등급)	25000	Oct-18	2018-10-01	성북구
13	돈암제일시장	돼지고기(삼겹살)	15000	Oct-18	2018-10-01	성북구
13	돈암제일시장	닭고기(육계)	5000	Oct-18	2018-10-01	성북구
13	돈암제일시장	달걀(10개)	0	Oct-18	2018-10-01	성북구
13	돈암제일시장	달걀(30개)	5000	Oct-18	2018-10-01	성북구
13	돈암제일시장	조기(국산생물)	3333	Oct-18	2018-10-01	성북구
13	돈암제일시장	명태(러시아냉동)	5000	Oct-18	2018-10-01	성북구
13	돈암제일시장	오징어(생물국산)	5000	Oct-18	2018-10-01	성북구
13	돈암제일시장	고등어(생물국산)	5000	Oct-18	2018-10-01	성북구
199	서울중앙시장	사과(부사 300g)	2000	Oct-18	2018-10-01	중구
199	서울중앙시장	배(중품)	3000	Oct-18	2018-10-01	중구
199	서울중앙시장	배추(중간)	4000	Oct-18	2018-10-01	중구
199	서울중앙시장	무(세척무)	2500	Oct-18	2018-10-01	중구
199	서울중앙시장	양파(1.5kg망)	2300	Oct-18	2018-10-01	중구
199	서울중앙시장	상추(100g)	1000	Oct-18	2018-10-01	중구
199	서울중앙시장	오이(다다기)	700	Oct-18	2018-10-01	중구
199	서울중앙시장	호박(인큐베이터)중간	1500	Oct-18	2018-10-01	중구
199	서울중앙시장	쇠고기(한우불고기)	26000	Oct-18	2018-10-01	중구
199	서울중앙시장	돼지고기(생삼겹살)	13000	Oct-18	2018-10-01	중구
199	서울중앙시장	닭고기(육계)	5000	Oct-18	2018-10-01	중구
199	서울중앙시장	달걀(10개)	2300	Oct-18	2018-10-01	중구
199	서울중앙시장	달걀(30개)	5000	Oct-18	2018-10-01	중구
199	서울중앙시장	명태(러시아냉동)	5000	Oct-18	2018-10-01	중구
199	서울중앙시장	조기(냉동수입산)	2500	Oct-18	2018-10-01	중구
199	서울중앙시장	오징어	4000	Oct-18	2018-10-01	중구
199	서울중앙시장	고등어	3300	Oct-18	2018-10-01	중구
11	남대문시장	사과(부사 300g)	2200	Oct-18	2018-10-01	중구
11	남대문시장	배(중품)	3000	Oct-18	2018-10-01	중구
11	남대문시장	배추(중간)	4200	Oct-18	2018-10-01	중구
11	남대문시장	무(세척무)	2500	Oct-18	2018-10-01	중구
11	남대문시장	양파(1.5kg망)	2400	Oct-18	2018-10-01	중구
11	남대문시장	상추(100g)	1100	Oct-18	2018-10-01	중구
11	남대문시장	오이(다다기)	750	Oct-18	2018-10-01	중구
11	남대문시장	호박(인큐베이터)중간	1500	Oct-18	2018-10-01	중구
